time,value
00:00:00,80
00:01:00,81
00:02:00,84
00:03:00,80
00:04:00,79
00:05:00,82
00:06:00,85
00:07:00,84
00:08:00,85
00:09:00,81
00:10:00,82
00:11:00,81
00:12:00,82
00:13:00,82
00:14:00,83
00:15:00,84
00:16:00,82
00:17:00,84
00:18:00,84
00:19:00,82
00:20:00,83
00:21:00,82
00:22:00,83
00:23:00,82
00:24:00,83
00:25:00,84
00:26:00,82
00:27:00,81
00:28:00,84
00:29:00,80
00:30:00,81
00:31:00,86
00:32:00,102
00:33:00,88
00:34:00,84
00:35:00,82
00:36:00,83
00:37:00,81
00:38:00,81
00:39:00,82
00:40:00,82
00:41:00,80
00:42:00,85
00:43:00,83
00:44:00,83
00:45:00,85
00:46:00,84
00:47:00,84
00:48:00,78
00:49:00,77
00:50:00,77
00:51:00,78
00:52:00,80
00:53:00,75
00:54:00,76
00:55:00,80
00:56:00,78
00:57:00,80
00:58:00,82
00:59:00,80
01:00:00,83
01:01:00,83
01:02:00,79
01:03:00,76
01:04:00,76
01:05:00,75
01:06:00,75
01:07:00,76
01:08:00,76
01:09:00,76
01:10:00,76
01:11:00,77
01:12:00,76
01:13:00,71
01:14:00,74
01:15:00,77
01:16:00,77
01:17:00,78
01:18:00,81
01:19:00,79
01:20:00,78
01:21:00,77
01:22:00,75
01:23:00,75
01:24:00,75
01:25:00,74
01:26:00,77
01:27:00,80
01:28:00,79
01:29:00,73
01:30:00,72
01:31:00,75
01:32:00,75
01:33:00,77
01:34:00,78
01:35:00,79
01:36:00,76
01:37:00,79
01:38:00,80
01:39:00,79
01:40:00,77
01:41:00,78
01:42:00,77
01:43:00,77
01:44:00,77
01:45:00,85
01:46:00,81
01:47:00,78
01:48:00,76
01:49:00,76
01:50:00,75
01:51:00,77
01:52:00,75
01:53:00,75
01:54:00,75
01:55:00,73
01:56:00,73
01:57:00,76
01:58:00,76
01:59:00,78
02:00:00,78
02:01:00,72
02:02:00,73
02:03:00,72
02:04:00,72
02:05:00,74
02:06:00,75
02:07:00,74
02:08:00,73
02:09:00,74
02:10:00,68
02:11:00,69
02:12:00,71
02:13:00,82
02:14:00,80
02:15:00,78
02:16:00,76
02:17:00,76
02:18:00,75
02:19:00,75
02:20:00,75
02:21:00,74
02:22:00,73
02:23:00,74
02:24:00,73
02:25:00,73
02:26:00,75
02:27:00,74
02:28:00,73
02:29:00,71
02:30:00,72
02:31:00,71
02:32:00,72
02:33:00,72
02:34:00,73
02:35:00,73
02:36:00,72
02:37:00,71
02:38:00,71
02:39:00,72
02:40:00,73
02:41:00,72
02:42:00,71
02:43:00,70
02:44:00,69
02:45:00,73
02:46:00,69
02:47:00,69
02:48:00,72
02:49:00,69
02:50:00,74
02:51:00,69
02:52:00,68
02:53:00,71
02:54:00,65
02:55:00,68
02:56:00,69
02:57:00,65
02:58:00,70
02:59:00,67
03:00:00,66
03:01:00,65
03:02:00,72
03:03:00,66
03:04:00,68
03:05:00,67
03:06:00,69
03:07:00,69
03:08:00,70
03:09:00,69
03:10:00,67
03:11:00,71
03:12:00,69
03:13:00,68
03:14:00,74
03:15:00,70
03:16:00,68
03:17:00,68
03:18:00,68
03:19:00,68
03:20:00,68
03:21:00,68
03:22:00,67
03:23:00,68
03:24:00,67
03:25:00,67
03:26:00,67
03:27:00,66
03:28:00,67
03:29:00,66
03:30:00,65
03:31:00,67
03:32:00,66
03:33:00,68
03:34:00,68
03:35:00,66
03:36:00,69
03:37:00,68
03:38:00,66
03:39:00,65
03:40:00,65
03:41:00,65
03:42:00,65
03:43:00,65
03:44:00,65
03:45:00,66
03:46:00,65
03:47:00,66
03:48:00,65
03:49:00,65
03:50:00,66
03:51:00,67
03:52:00,65
03:53:00,66
03:54:00,66
03:55:00,65
03:56:00,66
03:57:00,73
03:58:00,66
03:59:00,70
04:00:00,68
04:01:00,68
04:02:00,68
04:03:00,67
04:04:00,67
04:05:00,67
04:06:00,68
04:07:00,67
04:08:00,68
04:09:00,67
04:10:00,68
04:11:00,68
04:12:00,67
04:13:00,68
04:14:00,68
04:15:00,69
04:16:00,69
04:17:00,70
04:18:00,74
04:19:00,70
04:20:00,71
04:21:00,66
04:22:00,68
04:23:00,69
04:24:00,66
04:25:00,68
04:26:00,67
04:27:00,73
04:28:00,69
04:29:00,68
04:30:00,68
04:31:00,71
04:32:00,71
04:33:00,66
04:34:00,68
04:35:00,73
04:36:00,63
04:37:00,64
04:38:00,65
04:39:00,64
04:40:00,69
04:41:00,65
04:42:00,65
04:43:00,70
04:44:00,64
04:45:00,66
04:46:00,66
04:47:00,66
04:48:00,63
04:49:00,67
04:50:00,65
04:51:00,72
04:52:00,71
04:53:00,66
04:54:00,68
04:55:00,68
04:58:00,62
04:59:00,65
05:00:00,62
05:01:00,65
05:02:00,68
05:03:00,65
05:04:00,69
05:05:00,68
05:06:00,64
05:07:00,64
05:08:00,62
05:09:00,62
05:10:00,68
05:11:00,69
05:12:00,68
05:13:00,67
05:14:00,63
05:15:00,61
05:16:00,63
05:17:00,66
05:18:00,60
05:19:00,59
05:20:00,59
05:21:00,59
05:22:00,61
05:23:00,59
05:24:00,66
05:25:00,69
05:26:00,67
05:27:00,65
05:28:00,67
05:29:00,66
05:30:00,64
05:31:00,63
05:32:00,61
05:33:00,63
05:34:00,65
05:35:00,63
05:36:00,62
05:37:00,65
05:38:00,63
05:39:00,64
05:40:00,62
05:41:00,63
05:42:00,63
05:43:00,63
05:44:00,63
05:45:00,62
05:46:00,60
05:47:00,61
05:48:00,62
05:49:00,63
05:50:00,63
05:51:00,63
05:52:00,63
05:53:00,65
05:54:00,66
05:55:00,64
05:56:00,63
05:57:00,64
05:58:00,63
05:59:00,65
06:00:00,64
06:01:00,66
06:02:00,64
06:03:00,66
06:04:00,67
06:05:00,65
06:06:00,66
06:07:00,65
06:08:00,66
06:09:00,66
06:10:00,64
06:11:00,62
06:12:00,64
06:13:00,63
06:14:00,70
06:15:00,76
06:16:00,80
06:17:00,77
06:18:00,78
06:19:00,79
06:20:00,76
06:21:00,69
06:22:00,71
06:23:00,74
06:24:00,73
06:25:00,77
06:26:00,71
06:27:00,73
06:28:00,78
06:29:00,79
06:30:00,76
06:31:00,65
06:32:00,69
06:33:00,61
06:34:00,62
06:35:00,64
06:36:00,66
06:37:00,63
06:38:00,69
06:39:00,62
06:40:00,63
06:41:00,64
06:42:00,64
06:43:00,66
06:44:00,66
06:45:00,64
06:46:00,64
06:47:00,65
06:48:00,66
06:49:00,65
06:50:00,63
06:51:00,62
06:52:00,65
06:53:00,68
06:54:00,65
06:55:00,65
06:56:00,61
06:57:00,68
06:58:00,79
06:59:00,70
07:00:00,70
07:01:00,68
07:02:00,66
07:03:00,65
07:04:00,64
07:05:00,64
07:06:00,67
07:07:00,67
07:08:00,66
07:09:00,67
07:10:00,70
07:11:00,68
07:12:00,71
07:13:00,66
07:14:00,67
07:15:00,73
07:16:00,69
07:17:00,65
07:18:00,64
07:19:00,65
07:20:00,65
07:21:00,64
07:22:00,64
07:23:00,65
07:24:00,66
07:25:00,67
07:26:00,66
07:27:00,67
07:28:00,68
07:29:00,67
07:30:00,68
07:31:00,67
07:32:00,67
07:33:00,67
07:34:00,68
07:35:00,67
07:36:00,67
07:37:00,68
07:38:00,68
07:39:00,68
07:40:00,68
07:41:00,68
07:42:00,68
07:43:00,67
07:44:00,69
07:45:00,69
07:46:00,69
07:47:00,68
07:48:00,69
07:49:00,72
07:50:00,70
07:51:00,69
07:52:00,71
07:53:00,69
07:54:00,68
07:55:00,69
07:56:00,67
07:57:00,69
07:58:00,70
07:59:00,66
08:00:00,65
08:01:00,71
08:02:00,66
08:03:00,68
08:04:00,69
08:05:00,65
08:06:00,65
08:07:00,67
08:08:00,64
08:09:00,76
08:10:00,66
08:11:00,65
08:12:00,68
08:13:00,65
08:14:00,67
08:15:00,64
08:16:00,65
08:17:00,63
08:18:00,63
08:19:00,65
08:20:00,63
08:21:00,63
08:22:00,65
08:23:00,65
08:24:00,65
08:25:00,65
08:26:00,67
08:27:00,71
08:28:00,77
08:29:00,82
08:30:00,81
08:31:00,77
08:32:00,73
08:33:00,69
08:34:00,67
08:35:00,70
08:36:00,68
08:37:00,65
08:38:00,68
08:39:00,67
08:40:00,66
08:41:00,67
08:42:00,65
08:43:00,65
08:44:00,66
08:45:00,69
08:46:00,67
08:47:00,67
08:48:00,67
08:49:00,69
08:50:00,69
08:51:00,71
08:52:00,68
08:53:00,69
08:54:00,72
08:55:00,72
08:56:00,69
08:57:00,69
08:58:00,70
08:59:00,70
09:00:00,69
09:01:00,70
09:02:00,71
09:03:00,70
09:04:00,71
09:05:00,71
09:06:00,70
09:07:00,69
09:08:00,72
09:09:00,71
09:10:00,70
09:11:00,73
09:12:00,71
09:13:00,67
09:14:00,70
09:15:00,69
09:16:00,70
09:17:00,70
09:19:00,79
09:20:00,80
09:21:00,76
09:22:00,75
09:23:00,98
09:25:00,99
09:26:00,99
09:27:00,91
09:28:00,86
09:29:00,85
09:30:00,88
09:31:00,80
09:32:00,74
09:33:00,77
09:34:00,86
09:35:00,92
09:36:00,92
09:37:00,91
09:38:00,91
09:39:00,91
09:40:00,91
09:41:00,92
09:42:00,86
09:43:00,82
09:44:00,82
09:45:00,85
09:46:00,83
09:47:00,82
09:49:00,88
09:50:00,86
09:51:00,88
09:52:00,90
09:53:00,91
09:54:00,93
09:55:00,92
09:56:00,94
09:57:00,93
09:58:00,95
09:59:00,93
10:00:00,91
10:01:00,85
10:02:00,79
10:03:00,78
10:04:00,78
10:05:00,96
10:06:00,100
10:07:00,97
10:08:00,92
10:09:00,92
10:10:00,83
10:11:00,86
10:12:00,85
10:13:00,83
10:14:00,82
10:15:00,82
10:16:00,80
10:17:00,81
10:18:00,82
10:19:00,81
10:20:00,80
10:21:00,80
10:22:00,82
10:23:00,82
10:24:00,80
10:25:00,80
10:26:00,78
10:27:00,71
10:28:00,78
10:29:00,82
10:30:00,82
10:31:00,72
10:32:00,62
10:33:00,71
10:34:00,79
10:35:00,90
10:36:00,89
10:37:00,84
10:38:00,68
10:39:00,63
10:40:00,71
10:41:00,84
10:42:00,88
10:43:00,87
10:44:00,87
10:45:00,94
10:46:00,95
10:47:00,104
10:48:00,115
10:49:00,123
10:50:00,129
10:51:00,84
10:52:00,92
10:53:00,86
10:54:00,85
10:55:00,86
10:56:00,85
10:57:00,92
10:58:00,91
10:59:00,90
11:00:00,90
11:01:00,88
11:02:00,89
11:03:00,95
11:04:00,98
11:05:00,100
11:06:00,103
11:07:00,104
11:08:00,101
11:09:00,93
11:10:00,88
11:11:00,84
11:12:00,92
11:13:00,92
11:14:00,90
11:15:00,92
11:16:00,90
11:17:00,90
11:18:00,91
11:19:00,92
11:20:00,92
11:21:00,91
11:22:00,92
11:23:00,91
11:24:00,91
11:25:00,93
11:26:00,91
11:27:00,93
11:28:00,94
11:29:00,97
11:30:00,91
11:31:00,90
11:32:00,93
11:33:00,90
11:34:00,90
11:35:00,92
11:36:00,87
11:37:00,87
11:38:00,90
11:39:00,90
11:40:00,91
11:41:00,92
11:42:00,90
11:43:00,89
11:44:00,86
11:45:00,89
11:46:00,92
11:47:00,88
11:48:00,91
11:49:00,88
11:50:00,85
11:51:00,86
11:52:00,85
11:53:00,88
11:54:00,94
11:55:00,96
11:56:00,89
11:57:00,87
11:58:00,86
11:59:00,86
12:00:00,88
12:01:00,86
12:02:00,90
12:03:00,84
12:04:00,87
12:05:00,87
12:06:00,86
12:07:00,83
12:08:00,87
12:09:00,86
12:10:00,83
12:11:00,84
12:12:00,82
12:13:00,83
12:14:00,82
12:15:00,81
12:18:00,92
12:19:00,101
12:20:00,98
12:21:00,94
12:22:00,90
12:23:00,89
12:24:00,90
12:25:00,88
12:26:00,87
12:27:00,87
12:28:00,88
12:29:00,83
12:30:00,84
12:31:00,85
12:32:00,87
12:33:00,86
12:34:00,97
12:35:00,95
12:36:00,94
12:37:00,97
12:38:00,91
12:39:00,85
12:40:00,85
12:41:00,81
12:42:00,80
12:43:00,81
12:44:00,80
12:45:00,82
12:46:00,87
12:47:00,88
12:48:00,88
12:49:00,88
12:50:00,90
12:51:00,91
12:52:00,91
12:53:00,94
12:54:00,97
12:55:00,97
12:56:00,87
12:57:00,74
12:58:00,84
12:59:00,86
13:00:00,88
13:01:00,86
13:02:00,86
13:03:00,86
13:04:00,86
13:05:00,89
13:06:00,91
13:07:00,87
13:08:00,87
13:09:00,88
13:10:00,92
13:11:00,96
13:12:00,99
13:13:00,97
13:14:00,75
13:15:00,64
13:16:00,67
13:17:00,84
13:18:00,98
13:19:00,69
13:20:00,73
13:21:00,87
13:22:00,87
13:23:00,92
13:24:00,98
13:25:00,95
13:26:00,93
13:27:00,94
13:28:00,95
13:29:00,93
13:30:00,91
13:31:00,92
13:32:00,91
13:33:00,94
13:34:00,96
13:35:00,96
13:36:00,95
13:37:00,87
13:38:00,93
13:39:00,92
13:40:00,92
13:41:00,92
13:42:00,94
13:43:00,99
13:44:00,98
13:45:00,84
13:46:00,74
13:47:00,81
13:48:00,66
13:49:00,66
13:50:00,79
13:51:00,109
13:52:00,118
13:53:00,114
13:54:00,111
13:55:00,107
13:56:00,108
13:57:00,112
13:58:00,117
13:59:00,113
14:00:00,104
14:01:00,115
14:02:00,103
14:03:00,95
14:04:00,93
14:05:00,93
14:06:00,94
14:07:00,91
14:08:00,93
14:09:00,92
14:11:00,92
14:12:00,92
14:13:00,92
14:14:00,93
14:15:00,95
14:16:00,94
14:17:00,92
14:18:00,98
14:19:00,93
14:20:00,93
14:21:00,89
14:22:00,88
14:23:00,92
14:24:00,89
14:25:00,92
14:26:00,96
14:27:00,97
14:28:00,101
14:29:00,97
14:30:00,92
